Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3269440
3,335838
4,303236
5,270132
6,1692903
7,801793
8,381415
9,492426
10,486536
11,68468
12,177882
13,911125
14,1046295
15,1087624
16,1054662
17,923886
18,851765
19,872526
20,2290481
21,1608259
22,1099894
23,1148479
24,1133213
25,1243313
26,1370022
27,2145384
28,2260197
29,3135319
30,2893720
31,2986070
32,2163825
33,2082264
34,2969740
35,3088376
36,2810579
37,3908945
38,5953164
39,5504966
40,5209870
41,3165074
42,2121142
43,2237021
44,3204785
45,3349181
46,3217767
47,3358418
48,3503124
49,4149464
50,4239996
51,5090426
52,5140372
53,4972669
54,5018110
55,6004502
56,6585761
57,7067978
58,7640934
59,7674625
60,7720920
61,7865733
62,7858189
63,7610662
64,7741039
65,7818604
66,7788965
67,7994057
68,8379108
69,8684334
70,8532451
71,8761831
72,8839772
73,8893994
74,7612203
75,7358323
76,7306783
77,7736761
78,8194991
79,8863620
80,9407402
81,9766085
82,10036935
83,9810630
84,10996465
85,10775239
86,9731832
87,9845907
88,9384427
89,10583461
90,10947601
